Sample_ID,Station_ID,Mesh,Year_Sampled,Month_Sampled,Lake,Morph_avail,Latitude,Longitude,Site_Depth
Z01,HU_45M,100,2019,August,Huron,YES,45.13666667,-82.98333333,110
Z02,HU_45M,53,2019,August,Huron,YES,45.13666667,-82.98333333,110
Z03,HU_06.1,100,2019,August,Huron,NO,43.46666667,-82,46
Z04,HU_06.1,53,2019,August,Huron,NO,43.46666667,-82,46
Z05,HU_27,100,2019,August,Huron,YES,44.19833333,-82.50333333,50
Z06,HU_27,53,2019,August,Huron,YES,44.19833333,-82.50333333,50
Z07,HU_61,100,2018,August,Huron,YES,45.75,-83.91666667,120
Z08,HU_61,53,2018,August,Huron,YES,45.75,-83.91666667,120
Z09,HU_95B,100,2018,August,Huron,NO,,,
Z10,HU_95B,53,2018,August,Huron,NO,,,
Z11,HU_96B,100,2018,August,Huron,NO,,,
Z12,HU_96B,53,2018,August,Huron,NO,,,
Z13,HU_97B,100,2018,August,Huron,NO,,,
Z14,HU_97B,53,2018,August,Huron,NO,,,
Z15,HU_06,100,2018,August,Huron,YES,43.46666667,-82,46
Z16,HU_06,53,2018,August,Huron,YES,43.46666667,-82,46
Z17,MI_41M,100,2019,August,Michigan,YES,44.73666667,-86.72166667,250
Z18,MI_41M,53,2019,August,Michigan,YES,44.73666667,-86.72166667,250
Z19,MI_19,100,2019,August,Michigan,YES,42.73333333,-86.58333333,92
Z20,MI_19,53,2019,August,Michigan,YES,42.73333333,-86.58333333,92
Z21,MI_32,100,2019,August,Michigan,YES,44.14,-87.23333333,159
Z22,MI_32,53,2019,August,Michigan,YES,44.14,-87.23333333,159
Z23,MI_47,100,2019,August,Michigan,YES,45.17833333,-86.375,186
Z24,MI_47,53,2019,August,Michigan,YES,45.17833333,-86.375,186
Z25,MI_46B,100,2018,August,Michigan,NO,,,
Z26,MI_46B,53,2018,August,Michigan,NO,,,
Z27,MI_50B,100,2018,August,Michigan,NO,,,
Z28,MI_50B,53,2018,August,Michigan,NO,,,
Z29,MI_31B,100,2018,August,Michigan,NO,,,
Z30,MI_31B,53,2018,August,Michigan,NO,,,
Z31,MI_51B,100,2018,August,Michigan,NO,,,
Z32,MI_51B,53,2018,August,Michigan,NO,,,
Z33,MI_53B,100,2018,August,Michigan,NO,,,
Z34,MI_53B,53,2018,August,Michigan,NO,,,
Z35,MI_30B,100,2018,August,Michigan,NO,,,
Z36,MI_30B,53,2018,August,Michigan,NO,,,
Z37,SU_18,100,2018,August,Superior,YES,47.51444444,-90.15194444,205
Z38,SU_18,53,2018,August,Superior,YES,47.51444444,-90.15194444,205
Z39,SU_15,100,2018,August,Superior,YES,48.08277778,-89.25333333,185
Z40,SU_15,53,2018,August,Superior,YES,48.08277778,-89.25333333,185
Z41,SU_11,100,2018,August,Superior,YES,48.34361111,-87.82527778,230
Z42,SU_11,53,2018,August,Superior,YES,48.34361111,-87.82527778,230
Z43,SU_04,100,2018,August,Superior,YES,47.25916667,-86.34833333,185
Z44,SU_04,53,2018,August,Superior,YES,47.25916667,-86.34833333,185
Z45,SU_01M,100,2018,August,Superior,YES,46.99305556,-85.16111111,130
Z46,SU_01M,53,2018,August,Superior,YES,46.99305556,-85.16111111,130
Z47,SU_21B,100,2018,August,Superior,NO,,,
Z48,SU_21B,53,2018,August,Superior,NO,,,
Z49,SU_13,100,2018,August,Superior,YES,48.22972222,-88.54444444,150
Z50,SU_13,53,2018,August,Superior,YES,48.22972222,-88.54444444,150
Z51,SU_20B,100,2018,August,Superior,NO,,,
Z52,SU_20B,53,2018,August,Superior,NO,,,
Z53,SU_23B,100,2018,August,Superior,NO,,,
Z54,SU_23B,53,2018,August,Superior,NO,,,
Z55,Duluth_Harbor,100,2018,August,Superior,NO,,,
Z56,Duluth_Harbor,53,2018,August,Superior,NO,,,
Z57,ER_61,100,2019,August,Erie,YES,41.94666667,-83.045,10
Z58,ER_61,53,2019,August,Erie,YES,41.94666667,-83.045,10
Z59,ER_15M,100,2019,August,Erie,YES,42.51666667,-79.89333333,60
Z60,ER_15M,53,2019,August,Erie,YES,42.51666667,-79.89333333,60
Z61,ER_92,100,2019,August,Erie,YES,41.95,-82.68666667,11
Z62,ER_92,53,2019,August,Erie,YES,41.95,-82.68666667,11
Z63,ER_58,100,2019,August,Erie,YES,41.685,-82.93333333,11.5
Z64,ER_58,53,2019,August,Erie,YES,41.685,-82.93333333,11.5
Z65,ER_36,100,2019,August,Erie,YES,41.935,-81.47833333,23
Z66,ER_36,53,2019,August,Erie,YES,41.935,-81.47833333,23
Z67,ER_91M,100,2019,August,Erie,YES,41.84083333,-82.91666667,10.5
Z68,ER_91M,53,2019,August,Erie,YES,41.84083333,-82.91666667,10.5
Z69,ER_59,100,2019,August,Erie,YES,41.72666667,-83.15,10
Z70,ER_59,53,2019,August,Erie,YES,41.72666667,-83.15,10
